,자치구,법정동,역개수
0,강동구,강일동,1
1,강동구,고덕동,1
2,노원구,공릉동,4
3,강동구,길동,1
4,성북구,길음동,1
5,성북구,동선동4가,1
6,강동구,둔촌동,3
7,강동구,명일동,2
8,성북구,보문동1가,1
9,성북구,삼선동1가,1
10,노원구,상계동,6
11,성북구,상월곡동,1
12,강동구,상일동,1
13,성북구,석관동,1
14,강동구,성내동,1
15,성북구,안암동5가,1
16,강동구,암사동,1
17,강동구,암사동,1
18,노원구,월계동,1
19,성북구,종암동,1
20,노원구,중계동,1
21,강동구,천호동,3
22,노원구,하계동,1
23,성북구,하월곡동,1
24,성북구,안암동4가,0
25,성북구,안암동3가,0
26,알수없음,청량리동,0
27,성북구,돈암동,0
28,성북구,안암동1가,0
29,성북구,동소문동6가,0
30,성북구,장위동,0
31,성북구,보문동2가,0
32,성북구,보문동4가,0
33,성북구,동선동1가,0
34,성북구,동선동3가,0
35,성북구,성북동1가,0
36,성북구,동선동2가,0
37,성북구,삼선동2가,0
38,성북구,삼선동4가,0
39,성북구,삼선동3가,0
40,성북구,동소문동5가,0
41,성북구,정릉동,0
42,성북구,보문동6가,0
43,성북구,동선동5가,0
44,성북구,삼선동5가,0
45,성북구,보문동3가,0
46,성북구,동소문동2가,0
47,성북구,동소문동7가,0
48,성북구,안암동2가,0
49,성북구,보문동7가,0
50,성북구,동소문동4가,0
51,성북구,동소문동3가,0
52,성북구,보문동5가,0
53,성북구,동소문동1가,0
54,성북구,성북동,0
